time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-26T12:50:17.030Z,17.8528,-66.7865,7,2.68,md,10,254,0.1535,0.22,pr,pr2020086019,2020-03-26T13:15:34.480Z,"16km SSE of Indios, Puerto Rico",earthquake,0.86,0.48,0.43,2,reviewed,pr,pr
2020-03-26T12:28:11.270Z,17.835,-66.8821,7,2.69,md,14,257,0.1401,0.16,pr,pr2020086018,2020-03-26T12:47:31.471Z,"15km S of Guanica, Puerto Rico",earthquake,0.63,0.56,0.23,10,reviewed,pr,pr
2020-03-26T12:18:29.650Z,18.0283,-66.7778,14,2.55,md,12,88,0.1145,0.15,pr,pr2020086017,2020-03-26T12:41:54.102Z,"1km NE of Guayanilla, Puerto Rico",earthquake,0.46,0.72,0.03,3,reviewed,pr,pr
2020-03-26T12:08:35.300Z,17.774,-66.8995,3,2.96,md,14,273,0.2021,0.33,pr,pr2020086016,2020-03-26T12:41:36.982Z,"21km S of Guanica, Puerto Rico",earthquake,1.04,0.76,0.34,9,reviewed,pr,pr
2020-03-26T10:17:51.850Z,17.9598,-66.7348,9,2.86,md,17,183,0.1452,0.23,pr,pr2020086015,2020-03-26T10:38:48.326Z,"4km SSW of Tallaboa, Puerto Rico",earthquake,0.53,0.46,0.3,12,reviewed,pr,pr
2020-03-26T09:55:08.920Z,17.9768,-66.8371,15,3,md,19,178,0.0421,0.19,pr,pr2020086014,2020-03-26T10:30:08.249Z,"2km SW of Indios, Puerto Rico",earthquake,0.46,0.45,0.33,12,reviewed,pr,pr
2020-03-26T08:52:42.112Z,31.6939,-103.9912,8.41,3.8,mwr,,44,0.243,0.73,us,us70008gas,2020-03-26T23:49:00.163Z,"37km W of Mentone, Texas",earthquake,2.6,7.3,0.048,41,reviewed,us,us
2020-03-26T08:13:42.170Z,35.5933333,-117.3955,0.52,2.85,ml,31,72,0.07276,0.12,ci,ci39116263,2020-03-26T16:53:29.465Z,"19km S of Trona, CA",earthquake,0.2,0.9,0.17,25,automatic,ci,ci
2020-03-26T08:10:23.690Z,17.9478,-67.0851,11,2.49,md,15,273,0.0462,0.19,pr,pr2020086013,2020-03-26T09:07:27.761Z,"5km SW of La Parguera, Puerto Rico",earthquake,0.82,0.29,0.37,12,reviewed,pr,pr
2020-03-26T08:03:42.139Z,38.7807,70.9242,10,4.4,mb,,60,0.98,0.93,us,us70008g9y,2020-03-26T08:21:57.040Z,"55km ESE of Gharm, Tajikistan",earthquake,5.1,1.6,0.103,27,reviewed,us,us
2020-03-26T07:38:30.387Z,37.3242,20.4108,10,4.6,mb,,78,1.217,0.93,us,us70008g9q,2020-03-26T07:53:22.040Z,"57km SW of Mouzaki, Greece",earthquake,6.9,1.9,0.097,32,reviewed,us,us
2020-03-26T07:16:59.342Z,49.7204,154.3547,146.83,4.7,mb,,162,8.204,0.66,us,us70008g9i,2020-03-26T07:38:51.040Z,"165km SW of Severo-Kuril'sk, Russia",earthquake,13.3,9.5,0.068,66,reviewed,us,us
2020-03-26T07:12:45.401Z,5.3662,127.5122,46.22,4.8,mb,,118,2.56,0.74,us,us70008g9c,2020-03-26T15:58:02.974Z,"184km SE of Pondaguitan, Philippines",earthquake,9.1,8.4,0.139,16,reviewed,us,us
2020-03-26T07:09:26.653Z,35.9434,5.7988,10,5,mww,,66,4.127,0.92,us,us70008g9a,2020-03-26T18:47:22.481Z,"25km SSE of El Eulma, Algeria",earthquake,8.1,1.9,0.08,15,reviewed,us,us
2020-03-26T06:49:22.041Z,-3.0543,138.997,73.45,4.8,mb,,55,6.74,0.96,us,us70008g96,2020-03-26T07:12:43.040Z,"182km WSW of Abepura, Indonesia",earthquake,8.9,7.1,0.067,69,reviewed,us,us
2020-03-26T06:21:23.380Z,17.9743,-66.9546,9,2.55,md,17,177,0.0754,0.22,pr,pr2020086012,2020-03-26T08:27:11.478Z,"4km W of Guanica, Puerto Rico",earthquake,0.48,0.83,0.45,13,reviewed,pr,pr
2020-03-26T06:14:08.930Z,18.0363,-66.7625,16,2.61,md,20,75,0.1318,0.16,pr,pr2020086011,2020-03-26T08:26:51.294Z,"2km NNE of Magas Arriba, Puerto Rico",earthquake,0.37,0.52,0.33,17,reviewed,pr,pr
2020-03-26T05:58:34.928Z,-19.935,-11.7917,10,5.1,mb,,110,27.31,0.81,us,us70008g8q,2020-03-26T06:17:14.040Z,"Southern Mid-Atlantic Ridge",earthquake,16,1.9,0.124,21,reviewed,us,us
2020-03-26T05:52:48.588Z,22.7122,143.2054,105.11,5.4,mww,,42,4.461,1.12,us,us70008g8i,2020-03-26T07:55:58.323Z,"297km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake,7.5,4.1,0.078,16,reviewed,us,us
2020-03-26T05:39:33.780Z,17.8821,-66.881,12,2.78,md,18,247,0.093,0.2,pr,pr2020086010,2020-03-26T07:19:29.100Z,"10km SSE of Guanica, Puerto Rico",earthquake,0.79,0.53,0.27,14,reviewed,pr,pr
2020-03-26T05:39:21.030Z,38.4538,44.395,10,4.4,mb,,52,1.059,0.67,us,us70008g8b,2020-03-26T06:43:14.040Z,"28km SE of Saray, Turkey",earthquake,6.2,1.9,0.081,44,reviewed,us,us
2020-03-26T05:22:07.253Z,48.8459,157.8373,10,4.6,mb,,136,4.214,0.75,us,us70008g85,2020-03-26T05:52:45.040Z,"238km SSE of Severo-Kuril'sk, Russia",earthquake,9.7,1.9,0.05,120,reviewed,us,us
2020-03-26T04:44:31.504Z,40.7726,70.5089,10,5,mb,,43,0.752,0.98,us,us70008g7s,2020-03-26T14:27:12.997Z,"17km NE of Asht, Tajikistan",earthquake,5,1.8,0.047,145,reviewed,us,us
2020-03-26T04:26:37.294Z,-8.9062,-108.6371,10,4.6,mb,,110,28.12,0.57,us,us70008g7m,2020-03-26T05:24:07.040Z,"Central East Pacific Rise",earthquake,14.7,1.9,0.054,102,reviewed,us,us
2020-03-26T03:52:13.960Z,17.9836,-66.9806,11,3.08,md,20,162,0.0652,0.21,pr,pr2020086007,2020-03-26T11:54:45.033Z,"6km W of Fuig, Puerto Rico",earthquake,0.44,0.52,0.4,19,reviewed,pr,pr
2020-03-26T03:31:31.020Z,19.0568,-67.7381,4,3.21,md,18,196,0.7205,0.45,pr,pr2020086008,2020-03-26T11:34:08.954Z,"90km NW of San Antonio, Puerto Rico",earthquake,3.23,3.42,0.19,10,reviewed,pr,pr
2020-03-26T03:20:07.950Z,17.939,-66.8408,12,2.83,md,17,192,0.0527,0.2,pr,pr2020086006,2020-03-26T04:18:30.831Z,"6km SSW of Indios, Puerto Rico",earthquake,0.76,0.45,0.24,14,reviewed,pr,pr
2020-03-26T03:00:06.320Z,17.9596,-66.856,10,3.01,md,19,185,0.0279,0.25,pr,pr2020086005,2020-03-26T04:13:25.646Z,"4km ESE of Maria Antonia, Puerto Rico",earthquake,0.57,0.51,0.34,19,reviewed,pr,pr
2020-03-26T02:58:49.595Z,49.9072,159.0331,35,4.4,mb,,146,3.129,0.68,us,us70008g6q,2020-03-26T03:15:13.040Z,"224km ESE of Severo-Kuril'sk, Russia",earthquake,12.1,2,0.104,27,reviewed,us,us
2020-03-26T02:54:32.090Z,19.3466667,-155.0765,5.85,3.16,ml,59,167,0.04408,0.13,hv,hv71445407,2020-03-26T23:16:32.957Z,"16km S of Fern Acres, Hawaii",earthquake,0.31,0.32,0.194,39,reviewed,hv,hv
2020-03-26T02:44:42.870Z,17.9515,-66.863,11,2.77,md,19,188,0.0286,0.22,pr,pr2020086002,2020-03-26T04:11:16.590Z,"4km SE of Maria Antonia, Puerto Rico",earthquake,0.6,0.46,0.49,17,reviewed,pr,pr
2020-03-26T00:58:44.080Z,40.3745003,-125.0648346,0.14,2.85,md,23,268,0.5588,0.14,nc,nc73359520,2020-03-26T12:02:18.098Z,"66km W of Petrolia, CA",earthquake,1.59,4.59,0.11,7,automatic,nc,nc
2020-03-26T00:40:31.990Z,18.025,-66.822,14,2.86,md,14,134,0.0759,0.27,pr,pr2020086001,2020-03-26T01:29:56.236Z,"3km ESE of Yauco, Puerto Rico",earthquake,0.5,1.16,0.22,12,reviewed,pr,pr
2020-03-26T00:09:01.539Z,63.791,-149.3369,124.4,3,ml,,,,0.44,ak,ak0203y89s03,2020-03-26T00:38:30.040Z,"22km WSW of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-03-26T00:03:34.070Z,17.8593,-66.8675,12,3.15,md,14,251,0.1164,0.23,pr,pr2020086000,2020-03-26T08:06:04.158Z,"15km SSE of Guanica, Puerto Rico",earthquake,1.11,0.61,0.23,14,reviewed,pr,pr
